V (acid) [mL];V(acid) / m(slurry) [L/ton];m(H2SO4) / m(slurry) [kg/ton];pH Cattle H2SO4 (mean);stdev pH H2SO4 cattle;pH cattle AA (mean);pH stdev Cattle AA;pH pig H2SO4 (mean);pH stdev pig H2SO4;pH pig AA (mean);pH stdev pig AA
0.00;0;0.0;7.1;0.1;7.00;0.06;6.60;0.02;6.60;0.02
0.1;0.4;0.8;7.0;0.2;6.92;0.06;6.32;0.01;6.47;0.05
0.2;0.8;1.5;6.8;0.2;6.82;0.02;6.14;0.04;6.38;0.07
0.3;1.2;2.3;6.7;0.2;6.72;0.05;5.97;0.01;6.29;0.09
0.4;1.6;3.0;6.7;0.1;6.65;0.03;5.83;0.02;6.22;0.11
0.5;2;3.8;6.5;0.2;6.57;0.02;5.69;0.02;6.15;0.11
0.6;2.4;4.5;6.3;0.1;6.50;0.02;5.56;0.02;5.98;0.05
0.7;2.8;5.3;6.2;0.2;6.46;0.04;5.44;0.02;5.92;0.04
0.8;3.2;6.0;6.1;0.2;6.44;0.04;5.33;0.02;5.86;0.04
0.9;3.6;6.8;6.0;0.3;6.42;0.06;5.23;0.02;5.80;0.04
1.0;4;7.5;6.0;0.3;6.39;0.05;5.13;0.01;5.75;0.05
1.1;4.4;8.3;5.9;0.4;6.36;0.06;5.05;0.00;5.70;0.05
1.2;4.8;9.0;5.8;0.4;6.35;0.07;4.95;0.04;5.64;0.05
1.3;5.2;9.8;5.7;0.5;6.33;0.08;4.91;0.02;5.59;0.05
1.4;5.6;10.5;5.6;0.5;6.32;0.08;4.84;0.02;5.55;0.05
1.5;6;11.3;5.4;0.7;6.29;0.10;4.78;0.01;5.50;0.05
1.6;6.4;12.1;5.3;0.7;6.27;0.10;4.71;0.01;5.46;0.04
1.7;6.8;12.8;5.2;;6.26;0.11;4.65;0.01;5.42;0.04
1.8;7.2;13.6;4.4;;6.24;0.12;4.57;0.01;5.37;0.03
1.9;7.6;14.3;4.3;;6.22;0.13;4.50;0.01;5.33;0.02
2.0;8;15.1;4.3;;6.19;0.14;4.43;0.00;5.29;0.02
2.1;8.4;15.8;4.2;;6.17;0.15;4.34;0.00;5.26;0.02
2.2;8.8;16.6;4.2;;6.14;0.16;4.25;0.00;5.23;0.02
2.3;9.2;17.3;4.1;;6.12;0.18;4.15;0.01;5.21;0.01
2.4;9.6;18.1;4.0;;6.10;0.19;4.05;0.01;5.19;0.01
2.5;10;18.8;3.9;;6.08;0.21;3.93;0.01;5.16;0.01
